lane,query,returned,new_unique
B,extreme learning machine subgrade soil,100,10
B,wavelet neural network pavement,100,2
B,wavelet neural network asphalt pavement,100,1
B,wavelet neural network subgrade soil,100,0
B,radial basis function network pavement,100,0
B,radial basis function network asphalt pavement,100,0
B,radial basis function network subgrade soil,100,0
B,support vector regression pavement,100,4
B,support vector regression asphalt pavement,100,16
B,support vector regression subgrade soil,100,3
B,least squares support vector machine pavement,100,0
B,least squares support vector machine asphalt pavement,100,0
B,least squares support vector machine subgrade soil,100,0
B,random forest pavement,100,30
B,random forest asphalt pavement,100,7
B,random forest subgrade soil,100,3
B,gradient boosting pavement,100,17
B,gradient boosting asphalt pavement,100,13
B,gradient boosting subgrade soil,100,1
B,extreme gradient boosting pavement,100,0
B,extreme gradient boosting asphalt pavement,100,2
B,extreme gradient boosting subgrade soil,100,0
B,categorical boosting pavement,100,3
B,categorical boosting asphalt pavement,100,0
B,categorical boosting subgrade soil,100,0
B,light gradient boosting pavement,100,0
B,light gradient boosting asphalt pavement,100,3
B,light gradient boosting subgrade soil,100,0
B,gaussian process regression pavement,100,0
B,gaussian process regression asphalt pavement,100,19
B,gaussian process regression subgrade soil,100,0
B,group method of data handling pavement,100,4
B,group method of data handling asphalt pavement,100,51
B,group method of data handling subgrade soil,100,3
B,gene expression programming pavement,100,13
B,gene expression programming asphalt pavement,100,5
B,gene expression programming subgrade soil,100,1
B,multi-gene genetic programming pavement,100,1
B,multi-gene genetic programming asphalt pavement,100,26
B,multi-gene genetic programming subgrade soil,100,5
B,evolutionary polynomial regression pavement,100,10
B,evolutionary polynomial regression asphalt pavement,100,1
B,evolutionary polynomial regression subgrade soil,100,4
B,multivariate adaptive regression splines pavement,100,0
B,multivariate adaptive regression splines asphalt pavement,100,0
B,multivariate adaptive regression splines subgrade soil,100,0
B,stacking ensemble pavement,100,5
B,stacking ensemble asphalt pavement,100,7
B,stacking ensemble subgrade soil,100,1
B,variational mode decomposition pavement,100,0
B,variational mode decomposition asphalt pavement,50,8
B,variational mode decomposition subgrade soil,100,0
B,empirical mode decomposition pavement,100,6
B,empirical mode decomposition asphalt pavement,100,31
B,empirical mode decomposition subgrade soil,100,1
C,hybrid model pavement,100,63
C,hybrid model asphalt pavement,100,37
C,hybrid model subgrade soil,100,35
C,hybrid model asphalt mixture,100,96
C,hybrid model pavement performance,100,43
C,hybrid model pavement distress,100,57
C,hybrid machine learning pavement,100,11
C,hybrid machine learning asphalt pavement,100,2
C,hybrid machine learning subgrade soil,100,4
C,hybrid machine learning asphalt mixture,100,23
C,hybrid machine learning pavement performance,100,10
C,hybrid machine learning pavement distress,100,6
C,hybrid intelligent model pavement,100,11
C,hybrid intelligent model asphalt pavement,100,5
C,hybrid intelligent model subgrade soil,100,12
C,hybrid intelligent model asphalt mixture,100,9
C,hybrid intelligent model pavement performance,100,3
C,hybrid intelligent model pavement distress,100,18
C,optimized machine learning pavement,100,3
C,optimized machine learning asphalt pavement,100,4
C,optimized machine learning subgrade soil,100,2
C,optimized machine learning asphalt mixture,0,0
C,optimized machine learning pavement performance,50,2
C,optimized machine learning pavement distress,100,1
C,soft computing pavement,100,17
C,soft computing asphalt pavement,100,14
C,soft computing subgrade soil,100,45
C,soft computing asphalt mixture,100,5
C,soft computing pavement performance,100,2
C,soft computing pavement distress,100,7
C,data-driven model pavement,100,34
C,data-driven model asphalt pavement,100,5
C,data-driven model subgrade soil,100,6
C,data-driven model asphalt mixture,100,7
C,data-driven model pavement performance,100,13
C,data-driven model pavement distress,100,19
C,surrogate model pavement,100,12
C,surrogate model asphalt pavement,100,1
C,surrogate model subgrade soil,100,1
C,surrogate model asphalt mixture,100,2
C,surrogate model pavement performance,100,0
C,surrogate model pavement distress,100,2
C,explainable machine learning pavement,100,0
C,explainable machine learning asphalt pavement,100,4
C,explainable machine learning subgrade soil,100,1
C,explainable machine learning asphalt mixture,100,3
C,explainable machine learning pavement performance,100,0
C,explainable machine learning pavement distress,100,0
